,title,fashion_houseLabel,designerLabel,start_year,end_year
1091,founder,Amina Muaddi,Amina Muaddi,1995,
1092,founder,Amir Slama,Amir Slama,2002,
1093,founder,Amiri,Mike Amiri,2013,
1094,founder,Amouage,Prince Sayyid Hamad Bin Hamoud Al Busaidi,1983,
1095,founder,Anabela Chan,Anabela Chan,2013,
1096,founder,Ancient Greek Sandals,Christina Martini,2012,
1097,founder,Andrea Pompilio,Andrea Pompilio,2011,
1098,founder,Andreadamo,Andrea D'Amico,2009,
1099,founder,Angelos Bratis,Angelos Bratis,2009,
1100,founder,Anna Kosturova,Anna Kosturova,2004,
1101,founder,Anissa Kermiche,Anissa Kermiche,2016,
1102,founder,Anita Ko,Anita L Kozyrskyj,2006,
1103,founder,Anja Gockel,Anja Gockel,2002,
1104,founder,Anja Paris,Anja Gockel,2018,
1105,founder,Anna October,Anna October,2010,
1106,founder,Anne Vest,Anne Vester Høyer,2012,
1107,founder,Anni Lu,Helle Vestergaard Poulsen,2013,
1108,founder,Anonlychild,Anastasia Kuznetsova,2018,
1109,,J.Crew Group Inc.,Stuart Stockdale,1983,
1110,founder,Akira Isogawa,Akira Isogawa,1995,
1111,founder,Adrienne Vittadini,Adrienne Vittadini,1979,
1112,founder,Ana Locking,Ana Locking,2008,
1113,founder,Alfred Sung,Alfred Sung,1980,
1114,,Trussardi,Dante Trussardi,1911,
1115,,Andrés Sardá,Andrés Sardá Sacristán,1962,
1116,,La Perla,Ada Masotti,1954,
1117,,Intimissimi,Calzedonia,1996,
1118,,Juicy Couture,Pamela Skaist-Levy & Gela Nash-Taylor,1997,
1119,,Kipling,Xavier Kegels & Paul Van De Velde,1987,
1120,,Ksubi,Dan Single,1999,
1121,,Longchamp,Jean Cassegrain,1948,
1122,,Topshop,Celia Birtwell,1964,
1123,,Puma,Rudolf Dassler,1948,
1124,,Perry Ellis International,Isaac Mizrahi,1967,
1125,creative director,Kanye West,Virgil Abloh,,2009
1126,creative director,Axel Arigato,Max Svardh,,
1127,Head of Design,Aztech Mountain,Casey Cadwallader,,
1128,creative director,Billy Reid,William Billy Reid,,
1129,head of the style department,Bonpoint,Christine Innamorato,,
1130,,Giuseppe Zanotti,Giuseppe Zanotti,,
1131,,Gloria Coelho,Glória Coelho,,
1132,,Goldsign,Adriano Goldschmied,,
1133,,Graeme Black,Graeme Black,,
1134,founder,Diesel,Adriano Goldschmied,,
1135,founder,Lola Hats,Lola Ehrlich,,
1136,,Discount Universe,Cami James,,
1137,executive vice president and creative director,Gap Inc.,Zac Posen,,
1138,founder,Augusta Bernard,Augusta Bernard,,
1139,founder,Yohji Yamamoto & Y'S,Yohji Yamamoto,,
1140,founder,S.S. Daley,Steven Stokey-Daley,,
1141,design director,Supreme,Luke & Lucie Meier,,
1142,design director Fergus Purcell,Marc By Marc Jacobs,Lev Tanju,,
1143,founder,Katie Hillier Studio,Katie Hillier,,
1144,founder,Hillier London,Katie Hillier,,
1145,creative director,Kiko Kostadinov Label,Kiko Kostadinov,,
1146,founder,Les Petits Joueurs,Maria Sole Cecchi,,
1147,,Adele Simpson Inc,Adele Simpson,,
1148,,Les Copains,Mario Bandiera,,
1149,,Versus,Gianni Versace,,
1150,,Calvin Klein Collection,Francisco Costa,,
1151,,Gianfranco Ferré,Hamish Morrow,,
1152,,Joseph,Joseph Ettedgui,,
1153,,Lilly Pulitzer,Lilly Pulitzer,,
1154,,Oscar de la Renta,Brian Reyes,,
1155,,Jil Sander Navy,Jil Sander,,
1156,,Jill Jill Stuart,Jill Stuart,,
1157,,Jill Stuart,Jill Stuart,,
1158,,Jitrois,Jean-Claude Jitrois,,
1159,,John Bartlett,John Bartlett,,
1160,,John Galliano,John Galliano,,
1161,,John Richmond,John Richmond,,
1162,,John Rocha,John Rocha,,
1163,,Jonathan Saunders,Jonathan Saunders,,
1164,,Joseph Abboud,Joseph Abboud,,
1165,,Judith Leiber,Judith Leiber,,
1166,,Julian Louie,Julian Louie,,
1167,,Julien Macdonald,Julien Macdonald,,
1168,,Junya Watanabe,Hybta Watanabe,,
1169,,K Jacques St Tropez,Mr. & Mrs. Jacques Kéklikian,,
1170,,Karen Walker,Karen Walker,,
1171,,Katayone Adeli,Katayone Adeli,,
1172,,Kate Sylvester,Kate Sylvester,,
1173,,Kaviar Gauche,Alexandra Roehler and Johanna Kühl,,
1174,,Keita Maruyama,Keita Maruyama,,
1175,,Kenneth Cole New York,Kenneth Cole,,
1176,,Kiki De Montparnasse,Alice Prin,,
1177,,Kris Van Assche,Kris Van Assche,,
1178,,Krizia,Krizia,,
1179,,Kwiat,Sam Kwiat,,
1180,,Lady Grey,Jill Martinelli & Sabine Le Guyader,,
1181,,Lagerfeld Gallery,Karl Lagerfeld,,
1182,,Les Hommes,Tom Notte & Bart Vandebosch,,
1183,,Lilly Sarti,Lilly Sarti,,
1184,,Limi Feu,Limi Feu,,
1185,,Linda Farrow,Linda Farrow,,
1186,,Loewe,Enrique Loewe Roessberg,,
1187,,Lola Hats,Lola Ehrlich,,
1188,,Yeojin Bae,Yeojin Bae,,
1189,,Exte,Sergio Ciucci,,
1190,,Koji Tatsuno,Koji Tatsuno,,
1191,,Romeo Gigli,Alexander McQueen,,
1192,,Antonio Castillo,Antonio Castillo,,
1193,,Charles James,Arnold Scaasi,,
1194,,Alviero Martini,Alviero Martini,,
1195,,Patricia Field,Alexis Bittar,,
1196,,Prabal Gurung,Alexandre Birman,,
1197,,Phillip Lim,Anna Sheffield,,
1198,,Martin Margiela,Bruno Pieters,,
1199,,Josephus Thimister,Bruno Pieters,,
1200,,Wendy Dagworthy,Betty Jackson,,
1201,,Diane von Furstenberg,Catherine Malandrino,,
1202,,Paul Poiret,Charles James,,
1203,,Madeleine Vionnet,Caroline Reboux,,
1204,,Roger Vivier,Christian Louboutin,,
1205,,M.I.A.,Carri Mundane,,
1206,,Michael Sherard,Caroline Charles,,
1207,,Raf Simons,Damir Doma,,
1208,,Roberto Capucci,Emanuel Ungaro,,
1209,,Emmanuelle Khanh,Emmanuelle Khanh,,
1210,,Howard Greer,Edith Head,,
1211,,Travis Banton,Edith Head,,
1212,,Emilio Cavallini,Emilio Cavallini,,
1213,,Jean Muir,Emma Hope,,
1214,,Bill Gibb,Emma Hope,,
1215,,John Flett,Emma Hope,,
1216,,Joe Casely-Hayford,Emma Hope,,
1217,,Elizabeth Hurley,Elizabeth Hurley,,
1218,,Rossella Jardini,Franco Moschino,,
1219,,Hattie Carnegie,Gustave Tassell,,
1220,,Rick Owens,Gareth Pugh,,
1221,,Michèle Lamy,Gareth Pugh,,
1222,,Jeff Banks,Isaac Mizrahi,,
1223,,Willi Smith,John Bartlett,,
1224,,John Cavanagh,John Cavanagh,,
1225,,Sheridan Barnett,Janice Wainwright,,
1226,,Thierry Mugler,Jean Colonna,,
1227,,Arabella Pollen,Kate Sylvester,,
1228,,Ossie Clark,Manolo Blahnik,,
1229,,Murray Arbeid Ltd.,Murray Arbeid,,
1230,,Frederick Fox,Murray Arbeid,,
1231,,Vidal Sassoon,Nasir Mazhar,,
1232,,Anne Fogarty,Paul Costelloe,,
1233,,Pierre Hardy,Pierre Hardy,,
1234,,Nicola Trussardi,Rossella Jardini,,
1235,,Rachel Roy,Rachel Roy,,
1236,creative director,Bottega Veneta,Tomas Maier,2001,2021
1237,"ready-to-wear designer, Artistic Director of Haute Couture",Balmain,Laurent Mercier,2001,2003
1238,couture chief designer,Balmain,Óscar de la Renta,1993,2002
1239,creative director,Balenciaga,Cristóbal Balenciaga,1937,1968
1240,head of atelier,Dior,Pierre Cardin,1947,1950
1241,Creative Director,Asprey,Hussein Chalayan,2000,2004
1242,founder,Biba,Barbara Hulanicki,1964,1976
1243,founder,Biba,Barbara Hulanicki,1964,1976
1244,founder,Alexander McQueen,Alexander McQueen,1994,2010
1245,founder,Vivienne Westwood,Vivienne Westwood,1981,2022
1246,,Anne Klein,Anne Klein,,
1247,,Ungaro,Emanuel Ungaro,,
1248,,Paul Smith,Paul Smith,,
1249,,Maison Félix,Félix Poussineau,,
1250,,Andrea Iyamah,Dumebi Iyamah,,
1251,,Telfar,Telfar Clemens,,
1252,,Maison Linette,Lien Bergé-Farwick,,
1253,,Tevrow + Chase,Joe Mimran,,
1254,,HELM NOIR STUDIOS,FAUX LAKE,,
1255,chief designer,Alberta Ferretti,Alberta Ferretti,1974,
1256,Artistic Director,Balmain,Christophe Lebourg,2003,
1257,Chief Designer,Balmain,Olivier Rousteing,2011,
1258,creative director,Akris,Albert Kriemler,2019,
1259,creative director,Alex Perry,Alex Perry,1997,
1260,creative director,Alexis Mabille,Alexis Mabille,2005,
1261,creative director,Amouage,Christopher Chong,2006,2019
1262,creative director,Annakiki,Anna Molinari,2000,
1263,creative director,Antonio Berardi,Antonio Berardi,2002,
1264,head designer,Antonio Berardi,Extè,1999,2001
1265,creative director,Azzaro,Vanessa Seward,2003,
1266,creative director,Back,Ann-Sofie Back,2005,
1267,creative director,Badgley Mischka,James Mischka & Mark Badgley,1988,
1268,creative director,Badgley Mischka,Mark Badgley,1988,
1269,head of design,Baldessarini,Werner Baldessarini,1993,2006
1270,managing Director,Baldessarini,Thorsten Stiebing,2007,
1271,creative director,Bernhard Willhelm,Bernhard Willhelm,2000,
1272,head designer,Bill Blass,Michael Vollbracht,1999,
1273,Creative Director (women’s division),Bill Blass,Peter Som,2007,
1274,Creative Director (men’s division),Bill Blass,Michael Bastian,2007,
1275,creative director,Blumarine,Anna Molinari,1977,
1276,sole chief executive,Brioni,Andrea Perrone,2009,
1277,Chief Executive Officer,Brioni,Umberto Angeloni,1990,2006
1278,creative director,Bruce,Daphne Gutierrez,2007,
1279,creative director,Bruce,Nicole Noselli & Daphne Gutierrez,2007,
1280,head designer,Bottega Veneta,Giles Deacon,2000,2001
1281,founder,Yves Saint Laurent,Yves Saint Laurent,1962,2002
1282,creative director,Yves Saint Laurent,Alber Elbaz,1998,2000
1283,director,Versace,Allegra Versace,2011,
1284,founder,Adolfo,Adolfo,1963,1993
1285,founder,Anine Bing,Anine Bing,2012,
1286,co-founder,Edun,Ali Hewson,2005,
1287,founder,Elie Tahari,Elie Tahari,1974,
1288,creative director,Malo,Alessandro Dell'Acqua,2008,2009
1289,co-founder,Zara,Amancio Ortega,1975,
1290,founder,Carven,Carven Tommasso,1945,
1291,Global Creative Director,Oscar de la Renta,Adam Lippes,1996,2003
1292,founder,Patrick Cox,Patrick Cox,1991,
1293,chief designer,Hedi Slimane,Christian Dior,2001,
1294,co-founder,Theory,Elie Tahari,1997,2003
1295,founder,Abigail Keats,Abigail Keats,2007,
1296,founder,Agatha Ruiz de la Prada,Agatha Ruiz de la Prada,1981,
1297,,Paul & Joe,Sophie Albou,1995,
1298,,Mirsa,Olga di Grésy,1937,
1299,head designer,Givenchy,John Galliano,1995,1996
1300,chief designer,Givenchy,Alexander McQueen,1997,2001
1301,head assistant,Alexander McQueen,Andrew Groves,1992,
1302,creative director,Maison Margiela,John Galliano,1988,
1303,"senior vice president of design, chief creative officer",Calvin Klein,Willy Chavarria,2021,
1304,founder,Tory Burch LLC,Tory Burch,2004,
1305,design director,Aerie,Willy Chavarria,1977,
1306,founder,Veronica Beard,Veronica Swanson Beard & Veronica Miele Beard,2010,
1307,founder,Wooyoungmi,Woo Young Mi,2002,
1308,founder,Xander Zhou,Xander Zhou,2007,
1309,chair of board of directors,Genny,Arnold Girombelli,1980,
1310,creative director,Helmut Lang,Peter Do,2023,
1311,founder,Antonio Castillo,Antonio Castillo,1964,
1312,founder,Akira Isogawa,Akira Isogawa,1995,
1313,founder,Off-White,Virgil Abloh,2013,
1314,founder,Valentino Garavani Studio,Valentino,1959,
1315,founder and designer,Vera Wang,Vera Wang,1990,
1316,founder,Antonio Murphy & Astro,Verbal & Yoon,2004,
1317,founder,Pyrex Vision,Virgil Abloh,2012,
1318,founder and designer,Victoria Beckham Brand,Victoria Beckham,2008,
1319,founder,Vika Gazinskaya Label,Vika Gazinskaya,2006,
1320,founder,Wes Gordon Label,Wes Gordon,2009,
1321,founder,Willy Chavarria Label,Willy Chavarria,2015,
1322,founder,Posen Foundation,Zac Posen,2001,2019
1323,chief creative officer,Old Navy,Zac Posen,1994,
1324,founder,Rose Studio,Guo Pei,1999,
1325,founder,Lukhanyo Mdingi Label,lukhanyo Mdingi,2015,
1326,founder,Peter Do,Peter Do,2018,
1327,founder,Solid Homme,Woo Young Mi,1998,
1328,head of womenswear,Calvin Klein,Louise Trotter,1968,
1329,creative director,Dior Homme,Kris Van Assche,2007,2018
1330,head of global design,Calvin Klein Jeans: For Girls You Hate,Katie Hillier & Luella Bartley,2017,
1331,creative director,Etro,Marco De Vincenzo,2022,
1332,joint creative directors,Jil Sander,Luke & Lucie Meier,2017,
1333,creative director,Joseph,Louise Trotter,2009,
1334,creative directors,Nina Ricci,Lisi Herrebrugh & Rushemy Botter,2018,2022
1335,founder,Anrealage,Kunihiko Morinaga,2003,
1336,creative director,Dunhill,Kim Jones,2008,2011
1337,founder,Ellery,Kym Ellery,2007,
1338,founder and creative director,Magliano,Luca Magliano,2017,
1339,founder,Mame Kurogouchi,Maiko Kurogouchi,2011,
1340,founder,Monse,Laura Kim & Fernando Garcia,2015,
1341,buying and design director,Whistles,Louise Trotter,1976,
1342,artistic director,Berluti,Kris Van Assche,2019,
1343,creative director,Carven,Louise Trotter,1945,
1344,founder,Hillier Bartley,Katie Hillier & Luella Bartley,2015,
1345,creative director,Lacoste,Louise Trotter,2018,
1346,co-creative directors,Oscar de la Renta,Laura Kim & Fernando Garcia,2016,
1347,chief creative,Tommy Hilfiger,Karl Lagerfeld,2005,
1348,creative director,Jigsaw,Louise Trotter,2007,
1349,creative director,Paco Rabanne,Manish Arora,2011,2012
1350,artistic director,Dior Men,Kim Jones,2018,
1351,founder,Rodarte,Kate Mulleavy & Laura Mulleavy,2005,
1352,creative director,Marc By Marc Jacobs,Katie Hillier & Luella Bartley,2013,2015
1353,founder,Kenneth Ize Label,Kenneth Ize,2013,
1354,founder,Pyer Moss,Kerby Jean-Raymond,2013,
1355,global creative director,Reebok,Kerby Jean-Raymond,2020,
1356,creative director,Mackintosh 0001,Kiko Kostadinov,2016,
1357,founder,Kris Van Assche Menswear Label,Kris Van Assche,2004,2015
1358,founder and designer,LaQuan Smith,Laquan Smith,2013,
1359,founder,Maxhosa Africa,Laduma Ngxokolo,2010,
1360,founder,Lisa Folawiyo,Lisa Folawiyo,2005,
1361,founder,Shushu/Tong,Liushu Lei & Yutong Jiang,2015,
1362,founder,Comme Moi,Lu Yan,2013,
1363,creative director,Oamc,Luke & Lucie Meier,2013,
1364,founder,Marcelo Burlon: Country Of Milan,Marcelo Burlon,2012,
1365,founder,Marco De Vincenzo,Marco De Vincenzo,2009,2020
1366,,Gucci,Guccio Gucci,1921,
1367,,Givenchy,Hubert de Givenchy,1952,
1368,,Alexander McQueen,Alexander McQueen,1992,
1369,,Alberta Ferretti,Alberta Ferretti,1974,
1370,,Dior,Christian Dior,1946,
1371,,Maison Margiela,Martin Margiela,1988,
1372,,Callot Soeurs,Joséphine Callot Crimont,1895,
1373,,Miu Miu,Miuccia Prada,1993,
1374,,Prada,Mario Prada,1913,
1375,,Kenzo,Kenzō Takada,1970,
1376,,Burberry,Thomas Burberry,1856,
1377,,DKNY,Donna Karan,1989,
1378,,Costume National,Ennio Capasa,1986,
1379,,Chanel,Coco Chanel,1910,
1380,,Hugo Boss,Hugo Boss,1924,
1381,,Louis Vuitton,Louis Vuitton,1854,
1382,,Dolce & Gabbana,Stefano Gabbana,1980,
1383,,Serendipity 3,Stephen Bruce,1954,
1384,,Cacharel,Jean Bousquet,1962,
1385,,Escada SE,Margaretha Ley,1978,
1386,,Giorgio Armani,Giorgio Armani,1975,
1387,,Valentino,Valentino,1960,
1388,,Moschino,Franco Moschino,1983,
1389,,Bally,Fritz Bally,1851,
1390,,Versace,Gianni Versace,1978,
1391,,Lanvin,Jeanne Lanvin,1889,
1392,,Cerruti 1881,Nino Cerruti,1967,
1393,,Chloé,Gaby Aghion,1952,
1394,,Marithé + François Girbaud,Marithé Bachellerie,1972,
1395,,Zegna,Ermenegildo Zegna,1910,
1396,,Balmain,Pierre Balmain,1945,
1397,,Missoni,Rosita Missoni,1953,
1398,,Balenciaga,Cristóbal Balenciaga,1917,
1399,,Hirsch & Cie.,Sally Berg,1869,
1400,,Hirsch & Cie.,Sally Berg,1882,
1401,,Viktor & Rolf,Viktor Horsting,1989,
1402,,Patou,Jean Patou,1914,
1403,,Jean-Paul Gaultier,Jean-Paul Gaultier,1982,
1404,,Brunello Cucinelli,Brunello Cucinelli,1978,
1405,,Marni,Consuelo Castiglioni,1994,
1406,,Sorelle Fontana,Zoe Fontana,1943,
1407,,Babani,Vitaldi Babani,1894,
1408,,Bellville Sassoon,Belinda Bellville,1953,
1409,,Hardy Amies,Edwin Hardy Amies,1946,
1410,,House of Worth,Charles Frederick Worth,1858,
1411,,Redfern,John Redfern,1847,
1412,,Märthaskolan,Marg von Schwerin,1927,
1413,,Courrèges,André Courrèges,1961,
1414,,Jil Sander,Jil Sander,1968,
1415,,Paquin,Jeanne Paquin,1891,
1416,,Isabel Marant,Isabel Marant,1994,
1417,,Tory Burch LLC,Tory Burch,2004,
1418,,Grès,Grès,1942,
1419,,Boué Soeurs,Sylvie Montegut,1899,
1420,,Margaine-Lacroix,Armandine Fresnais-Margaine,1868,
1421,,Atelier Gustavolins,Gustavo Lins,2003,
1422,,Carolina Herrera,Carolina Herrera,1981,
1423,,House of Emanuel Ungaro,Emanuel Ungaro,1965,
1424,,Mystic Select,Jordan Andrew,2015,
1425,,Narciso Rodriguez,Narciso Rodriguez,1997,
1426,,Fortuny,Mariano Fortuny,1906,
1427,,Lucile,"Lucy, Lady Duff-Gordon",1889,
1428,,Chéruit,Marie Huet,1898,
1429,,Rouff,L. Rouff,1884,
1430,,Beer,Gustave Beer,1905,
1431,,Myrbor,Marie Cuttoli,1922,
1432,,House of Drécoll,Christoph Drecoll,1885,
1433,,Xtian de Medici,Gunner de Medici,2014,
1434,,Caroline Reboux,Caroline Reboux,1865,
1435,,Rébé,René Bégué,1911,
1436,,House of Doucet,Antoine Doucet,1817,
1437,,Sarmi,Ferdinando Sarmi,1959,
1438,,Pucci,Emilio Pucci,1940,
1439,,Agnès,Mme Agnès,1898,
1440,,Cristoff Drecoll,Christoph Drecoll,1907,
1441,,"Ch. Drecoll, Damenkonfektionsgeschäft",Christoph Drecoll,1912,
1442,,"Maggy Rouff, Paris",Maggy Rouff,1929,
1443,,Zeus + Dione,Mareva Grabowski–Mitsotakis,2012,
1444,,House of Schiaparelli,Elsa Schiaparelli,1927,
1445,,House of Schiaparelli,Elsa Schiaparelli,1957,
1446,,House of Schiaparelli,Elsa Schiaparelli,2006,
1447,,Karl Lagerfeld,Karl Lagerfeld,1984,
1448,,Luisa Spagnoli,Luisa Spagnoli,1928,
1449,,Marc Jacobs,Marc Jacobs,1993,
1450,,Gebr. Domhoff,Leonardus Theodorus Domhoff,1860,
1451,,C.H. Kühne & Zonen,Carl Heinrich Kühne,1842,
1452,,ASPESI,Alberto Aspesi,1969,
1453,,Thom Browne,Thom Browne,2001,
1454,,Aadnevik,Hila Aadnevik,2013,
1455,,TLCZM,María Rosa Cazamor,1964,
1456,,Anjy Luminee Couture,Abiodun Folashade Tokunbo,2013,
1457,founder,Charles Jeffrey Loverboy,Charles Jeffrey,,
1458,founder,Christian Cowan,Christian Cowan,,
1459,founder,Colovos,Michael & Nicole Colovos,,
1460,founder,Colville,Molly Goddard,,
1461,founder,Comme Si,Two Friends,,
1462,founder,Danielle Frankel,Danielle Frankel,,
1463,founder,Deepa Gurnani,Deepa Lakhani,,
1464,founder,Del Core,Daniel Del Core,,
1465,founder,Double Rainbouu,Mike Amiri,,
1466,founder,Eberjey,Ali Mejia,,
1467,founder,Elhanati,Eliza Starbuck Barney,,
1468,founder,Emily Dawn Long,Emily Dawn Long,,
1469,,Coperni Femme,Sébastien Meyer & Arnaud Vaillant,1998,
1470,,Aerie,Todd Snyder,1977,
1471,,Stella McCartney,Stella McCartney,2001,
1472,,PVH,Tommy Hilfiger,1946,
1473,,Old Navy,Zac Posen,1994,
1474,founder,Costello Tagliapietra,Jeffrey Costello,1994,
1475,founder,Clements Ribeiro,Suzanne Martin,1993,
1476,founder,De Fursac,Laufer Brothers,1973,
1477,founder,Charlotte Chesnais,Charlotte Chesnais,2014,
1478,founder,Charlotte Ronson,Charlotte Ronson,2000,
1479,founder,Chiara Ferragni,Chiara Ferragni,2013,
1480,founder,Chika Kisada,Chika Kisada,2008,
1481,founder,Chopova Lowena,Emma Chopova,2018,
1482,founder,Chris Benz,Chris Benz,2004,
1483,founder,Christian Cota,Christian Cota,2006,
1484,founder,Christian Dada,Masanori Morikawa,2008,
1485,founder,Christian Siriano,Christian Siriano,2008,
1486,founder,Christopher Esber,Christopher Esber,2013,
1487,founder,Christopher John Rogers,Christopher John Rogers,1995,
1488,founder,Chromat,Becca Mccharen-Tran,2010,
1489,founder,Chufy,Sofía Sanchez De Betak,2017,
1490,founder,Cindy Chao,Cindy Chao,2004,
1491,founder,Cinzia Rocca,Giacomo Rocca,1953,
1492,founder,Cividini,Miriam & Piero Cividini,1988,
1493,founder,Claudia Li,Claudia Lichtenberg,2015,
1494,founder,Clio Peppiatt,Clio Peppiatt,2013,
1495,founder,Closed,Gordon Giers,1980,
1496,founder,Colette,Colette Roussaux,1997,
1497,founder,Collina Strada,Hillary Taymour,2008,
1498,founder,Commission,Chris Stamp,2018,
1499,founder,Common Projects,Prathan Poopat,2004,
1500,founder,Conner Ives,Connor Ives,2018,
1501,founder,Corali,Cora,2020,
1502,founder,Courbet,Jérôme Lamaud,2014,
1503,founder,Cormio,Antonio Cormio,2014,
1504,founder,Cortana,Manuel & Amalia García,1981,
1505,founder,Cosabella,Ugo & Valeria Campello,1983,
1506,founder,Cuup,Abby Morgan,2018,
1507,founder,Craig Green,Craig Green,2012,
1508,founder,Creed,James Henry Creed,1760,
1509,founder,Cult Gaia,Jasmin Larian,2012,
1510,founder,Daniela Gregis,Daniela Gregis,2002,
1511,founder,Dannijo,Danielle & Jodie Snyder,2008,
1512,founder,Darius,Darius Brown II,2014,
1513,founder,Dasha Gauser,Dasha Gauser,2013,
1514,founder,Dauphinette,Sarah Diouf,2018,
1515,founder,David Hart,David Hartley,1995,
1516,founder,Delpozo,Jesús del Pozo,1974,
1517,founder,Death To Tennis,William Watson,2014,
1518,founder,Delfina Delettrez,Delfina Delettrez,2007,
1519,founder,Dennis Basso,Dennis Basso,1983,
1520,founder,Denzil Patrick,Denzil Patrick,2018,
1521,founder,Derek Rose,Louis Rosenfeld,1926,
1522,founder,Deveaux,Matthew Breen,2016,
1523,founder,Devi Kroell,Devi Kroell,2004,
1524,founder,Dilara Findikoglu,Dilara Fındıkoğlu,2014,
1525,founder,Djula,Jonathan Scemla,2004,
1526,founder,Dodo Bar Or,Dorit Bar Or,2012,
1527,founder,Dion Lee,Dion Lee,2009,
1528,founder,Dorothee Schumacher,Dorothee Schumacher,1989,
1529,founder,Doublet,Masayuki Ino,2012,
1530,founder,Duncan,Michelle Duncan,2019,
1531,founder,Dundas,Peter Melville Dundas,2011,
1532,founder,Eckhaus Latta,Mike Eckhaus,2012,
1533,founder,Dur Doux,Sarah Lai,2014,
1534,founder,Duran Lantink,Duran Lantink,2016,
1535,founder,Dyne,Christopher Bevans,2015,
1536,founder,Electric Feathers,Lauren Cipoletti,2011,
1537,founder,Elena Velez,Elena Velez,1995,
1538,founder,Edeline Lee,Edeline Lee,2013,
1539,founder,Edward Crutchley,Edward Crutchley,2015,
1540,founder,Eftychia,Eftychia Karamolegkou,2018,
1541,founder,Eliurpi,Elisabeth Urpi,2009,
1542,founder,Elizabeth Kennedy,Elizabeth M. Kennedy,2009,
1543,founder,Elizabeth Locke,Elizabeth Locke,1984,
1544,founder,Elleme,Jingjing Fan,2015,
1545,founder,Ellery,Kym Ellery,2007,
1546,founder,Emilia Wickstead,Emilia Wickstead,2008,
1547,founder,Emily Levine,Emily Levine,2018,
1548,founder,Elsa Peretti,Elsa Peretti,1974,
1549,founder,Emma Brewin,Emma Brewin,2014,
1550,founder,Emma Mulholland,Emma Mulholland,2012,
1551,founder,Engineered Garments,Daiki Suzuki,1999,
1552,founder,Erika Cavallini,Erika Cavallini,2009,
1553,founder,Casablanca,Charaf Tajer,2019,
1554,founder,Cathy Waterman,Cathy Waterman,1999,
1555,founder,Caudalie,Mathilde Baldwin Thomas,1995,
1556,founder,Chaiken,Julie Chaiken,2002,
1557,founder,Chantecaille,Sylvie Chantecaille,1997,
1558,founder,Christophe Lemaire,Christophe Lemaire,1990,
1559,founder,Caroline Charles,Caroline Charles,1963,
1560,founder,Christian Audigier,Christian Audigier,1958,
1561,founder,Elio Berhanyer,Elio Berhanyer,1959,
1562,creative director,Om.Art,Oskar Metsavaht,,
1563,founder,Instituto Educadigital,Oskar Metsavaht,,
1564,head of ready-to-wear,Jw Anderson,Seán McGirr,,
1565,founder and creative director,Setchu,Satoshi Kuwata,,
1566,founder and designer,Windowsen,Sensen Lii,,
1567,founder,Akipelago,Shangguan Zhe,,
1568,creative director,Theory,Olivier Theyskens,,2014
1569,founder,Theysken’S Theory,Olivier Theyskens,,2014
1570,co-founder,Hood By Air,Raúl López,,2010
1571,,Harper's Bazaar,Thakoon Panichgul,,
1572,,Harper's Bazaar,Tory Burch,,
1573,,Charles Jourdan,Charles Jourdan,,
1574,,Dior Homme,Christian Dior,,
1575,,Calvin Klein Jeans: For Girls You Hate,Calvin Klein,,
1576,,Stephen Jones Millinery,Stephen Jones,,
1577,,Gap Inc.,Zac Posen,,
1578,,Gap Inc.,Donald G. Fisher & Doris F. Fisher,,
1579,,Kenneth Cole Productions,Kenneth Cole,,
1580,,Giambattista Valli,Giambattista Valli,,
1581,,Salvatore Ferragamo Italia S.p.A.,Salvatore Ferragamo,,
1582,,Bless,Desiree Heiss & Ines Kaag,,
1583,,Chanel Haute Couture,Coco Chanel,,
1584,,Nicholas Kirkwood,Nicholas Kirkwood,,
1585,,Nino Cerruti,Nino Cerruti,,
1586,,Jacques Esterel,Charles Martin,,
1587,,Sies Marjan,Sander Lak,,
1588,,Reformation,Sarah Staudinger,,
1589,,Staud,Sarah Staudinger,,
1590,,Givenchy Under Riccardo Tisci,Satoshi Kuwata,,
1591,,Golden Goose,Satoshi Kuwata,,
1592,,Setchu,Satoshi Kuwata,,
1593,,Hollywood Agency Caa,Scott Sternberg,,
1594,,"Emily Scott, Tom Scott & Cary Woods",Scott Sternberg,,
1595,,Band Of Outsiders,Scott Sternberg,,
1596,,Entireworld,Scott Sternberg,,
1597,,Windowsen,Sensen Lii,,
1598,,Dirk Schoenberger,Shane Gabier & Chris Peters,,
1599,,Jurgi Persoons,Shane Gabier & Chris Peters,,
1600,,Creatures Of The Wind,Shane Gabier & Chris Peters,,
1601,,Sankuanz,Shangguan Zhe,,
1602,,Akipelago,Shangguan Zhe,,
1603,,Simon Porte Jacquemus (Self-Owned Label),Simon Porte Jacquemus,,
1604,,Ermenegildo Zegna Couture,Stefano Pilati,,
1605,,Random Identities,Stefano Pilati,,
1606,,Egon Von Fürstenberg,Stella Jean,,
1607,,Self-Taught,Stella Jean,,
1608,,Edward Sexton,Stella McCartney,,
1609,,Team Gb,Stella McCartney,,
1610,,Blitz,Stephen Jones,,
1611,,S. R. Studio,Sterling Ruby,,
1612,,Vida9,Stéphane Ashpool,,
1613,,Chanel Atelier,Stéphane Ashpool,,
1614,,Susan Fang,Susan Fang,,
1615,,Supriya Lele (Self),Supriya Lele,,
1616,,Kei Kagami,Susan Fang,,
1617,,Ralph & Russo,Tamara Ralph & Michael Russo,,
